yb	VVc	bD50	Fr	ysb	Source
5.314285714	1.79245283	53.34	0.448342056	1.533333333	USGS
5.314285714	2.303370787	133.35	0.483737482	1.80952381	USGS
5.314285714	2.037735849	53.34	0.509694127	1.59047619	USGS
5.314285714	1.286549708	22.07172414	0.519132907	1.561904762	USGS
5.314285714	1.403508772	22.07172414	0.566326808	1.533333333	USGS
5.314285714	2.775280899	133.35	0.582844673	1.904761905	USGS
5.314285714	2.367924528	53.34	0.592283453	1.628571429	USGS
5.314285714	1.08490566	53.34	0.271364929	2.028571429	USGS
5.314285714	1.141509434	53.34	0.285523099	0.466666667	USGS
5.314285714	1.125	40.005	0.318558829	0.876190476	USGS
5.314285714	1.396226415	53.34	0.349234865	1.495238095	USGS
5.314285714	1.341666667	40.005	0.3799109	1.219047619	USGS
5.314285714	1.547169811	53.34	0.386989985	0.847619048	USGS
5.314285714	1.547169811	53.34	0.386989985	1.714285714	USGS
5.314285714	1.698113208	53.34	0.424745106	1.628571429	USGS
5.314285714	1.583333333	40.005	0.448342056	1.219047619	USGS
5.314285714	2.009433962	53.34	0.502615042	1.219047619	USGS
5.314285714	2.075471698	53.34	0.519132907	1.685714286	USGS
5.314285714	2.075471698	53.34	0.519132907	1.752380952	USGS
5.314285714	1.858333333	40.005	0.526211992	1.152380952	USGS
5.314285714	2.443396226	53.34	0.611161013	0.971428571	USGS
5.314285714	2.537735849	53.34	0.634757964	1.780952381	USGS
5.314285714	2.632075472	53.34	0.658354914	1.752380952	USGS
5.314285714	2.325	40.005	0.658354914	1.19047619	USGS
4.464	1.08490566	63.5	0.271364929	2.224	USGS
4.464	1.41509434	63.5	0.353954255	1.576	USGS
4.464	1.801886792	63.5	0.450701751	1.704	USGS
4.464	2.783018868	63.5	0.696110034	1.736	USGS
5.259541985	0.796610169	27.53710345	0.299421154	2.404580153	USGS
5.259541985	1.451977401	27.53710345	0.54575345	1.603053435	USGS
5.259541985	1.632768362	27.53710345	0.613707187	1.549618321	USGS
5.259541985	1.84180791	27.53710345	0.692278696	1.526717557	USGS
4.259541985	0.808988764	166.37	0.169898042	1.549618321	USGS
4.259541985	1.280898876	166.37	0.269005234	1.72519084	USGS
4.259541985	1.943820225	166.37	0.408227241	1.526717557	USGS
4.259541985	2.146067416	166.37	0.450701751	1.801526718	USGS
4.259541985	2.685393258	166.37	0.563967113	1.93129771	USGS
4.259541985	2.730337079	166.37	0.573405893	1.93129771	USGS
4.259541985	2.842696629	166.37	0.597002843	1.954198473	USGS
4.259541985	3.101123596	166.37	0.651275829	1.954198473	USGS
4.259541985	1.08490566	66.548	0.271364929	2.053435115	USGS
4.259541985	1.396226415	66.548	0.349234865	1.801526718	USGS
4.259541985	1.698113208	66.548	0.424745106	1.900763359	USGS
4.259541985	1.952830189	66.548	0.488456872	1.778625954	USGS
4.259541985	2.443396226	66.548	0.611161013	1.72519084	USGS
7.533783784	2.793650794	31.11062069	0.881392735	1.756756757	USGS
4.655405405	0.88976378	14.097	0.479923268	1.567567568	USGS
4.655405405	1.11023622	14.097	0.598842307	1.527027027	USGS
4.655405405	1.236220472	14.097	0.666796044	1.418918919	USGS
3.77027027	1.056603774	75.184	0.264285844	2.108108108	USGS
3.77027027	0.795321637	31.11062069	0.320918524	2.256756757	USGS
3.77027027	1.134831461	187.96	0.238329198	1.574324324	USGS
3.77027027	1.606741573	187.96	0.33743639	1.554054054	USGS
3.77027027	1.41509434	75.184	0.353954255	1.554054054	USGS
3.77027027	1.641509434	75.184	0.410586936	1.72972973	USGS
3.77027027	2.011235955	187.96	0.422385411	1.709459459	USGS
3.77027027	1.801886792	75.184	0.450701751	1.682432432	USGS
3.77027027	2.009433962	75.184	0.502615042	1.641891892	USGS
3.77027027	2.426966292	187.96	0.509694127	1.797297297	USGS
3.77027027	1.245614035	31.11062069	0.502615042	1.709459459	USGS
3.77027027	2.349056604	75.184	0.587564063	1.682432432	USGS
3.77027027	1.374269006	31.11062069	0.554528332	1.574324324	USGS
3.77027027	3.101123596	187.96	0.651275829	1.905405405	USGS
3.77027027	1.555555556	31.11062069	0.627678878	1.506756757	USGS
3.77027027	2.754716981	75.184	0.689030949	1.77027027	USGS
3.77027027	1.08490566	75.184	0.271364929	1.682432432	USGS
3.77027027	1.008333333	56.388	0.285523099	0.689189189	USGS
3.77027027	1.481132075	75.184	0.37047212	0.864864865	USGS
